PC1,PC2,Cluster,HC_Cluster,DBscan_Cluster
-0.8489987786481915,0.6035248532791272,1,2,1
0.6418338623907474,-0.17255263778033605,0,0,0
0.6422844530089612,-0.4305370430457676,0,0,1
1.7356732241015342,0.8256145955294111,2,1,1
-2.4381804646916745,1.2574700210856724,1,3,0
-2.8597652469107118,1.2191102191748593,1,3,0
-0.02210844293415894,0.2554876592750792,1,2,1
4.098273702432977,1.5765797036666114,2,1,1
0.7457000799408676,-2.2616136549221086,0,1,1
0.6347551907792728,0.5087341568082399,1,0,0
-2.611625966886315,0.404763882121534,1,3,0
-1.577741095987117,0.5121734523119283,1,0,0
-0.727935655460916,1.2503096536094733,1,3,0
-1.7155796428403707,-0.6465097957444429,0,0,0
0.42590371378206565,-0.04780676902742261,1,0,0
4.7911294102601705,0.5134811573317306,2,1,1
1.0039015708605572,-0.09878589108408824,2,2,-1
-2.150613981398388,-0.10076556799558783,1,0,0
-1.520216201312282,-0.3614312093737179,1,3,0
0.5107763863067265,-2.198181165463987,0,0,0
2.1721225767077397,1.2310870582432338,2,1,1
-0.49991799361700745,-1.3832119738221749,0,0,0
3.6214699605373326,-1.115315217745099,2,1,-1
2.0656681636105074,-0.2783708692776482,2,1,1
3.0065241018785023,-1.1729810046307496,2,1,1
3.303922371217227,-1.0392853698109974,2,1,-1
4.318210353527798,-0.8994458000582627,2,1,-1
-1.7872475301821513,0.7346537896433357,1,2,1
-1.4716128219160174,1.3949290777520442,1,3,0
-0.28331489509133595,-1.6536731462613474,0,2,1
1.5944242065327734,0.5293425886886898,2,1,0
1.881124237879221,0.028814207595698756,2,1,1
2.149485605689827,1.534546664571871,2,1,1
1.0032889425404654,0.4208875622635361,2,2,-1
-0.05340695792006618,2.771655248651319,1,2,-1
-2.140103225022478,0.38143243391597376,1,3,0
-0.16244969009730054,1.058761698770889,1,2,1
1.5539090240198543,-0.965333080603151,2,1,1
-0.7652844727929606,0.5817615953247767,1,2,1
0.6060813598426559,-0.09294014308468494,0,0,0
3.1498823732913737,2.0164050163940264,2,1,0
-0.8939256657416447,-0.8042592297835083,0,0,0
0.9816287868167117,-0.6165471947792995,0,0,0
-0.9026206378214382,1.1283214188347004,1,3,0
-0.9508507297356512,-0.7135421250454174,0,0,0
2.8899449678642,-2.4084840692223235,2,1,1
-1.6571345432456412,0.8157831204396258,1,3,0
3.0545978871541637,-0.966796868066377,2,1,1
-1.7983933589834356,0.3379539125389807,1,3,0
0.9047577386789944,-2.0191278665691987,0,0,0
-1.1501552281619958,-1.866585746429429,0,2,1
-2.4548157523855734,0.5042353254329585,1,3,0
-1.6821698838480275,-0.7203347040725437,0,0,0
-0.7204363437091822,-0.880984397846321,0,2,1
-0.5414340396102267,0.1888147529463089,1,0,0
0.5099110312129095,-0.626327728435627,0,1,-1
0.1529761391658611,0.7979672539176882,1,2,1
3.747648357044619,0.038722632462829094,2,1,1
0.12952382339623306,0.928978120841384,1,2,1
-1.685788121135391,-0.6355439456139046,0,0,0
-0.93391889039445,-0.2655342802529096,1,0,0
-1.007286717816713,-0.39971095567704357,1,0,0
0.7988587596542132,-1.6134976544107653,0,2,-1
-2.257622213069963,-0.2528575037107977,1,0,0
-1.8027594632632318,1.2490393670094182,1,3,0
0.6921985608678926,-0.8459761872279773,0,0,0
-1.6194690851854496,-0.5445902210094393,1,0,0
0.5587756545560417,-2.3434014402764305,0,0,0
4.361376088449465,-2.776211371439603,2,1,-1
-1.2698392080165386,1.1849732081733837,1,3,0
-0.7474054049874236,1.1237491810279396,1,2,1
-1.1298770707870185,0.9148465263309716,1,3,0
-0.2614845778559201,1.2987773522923645,1,0,0
-0.6464536617389963,-0.7394050300884006,0,0,0
0.7147988741749761,0.6035706137180509,1,3,0
-0.5572906379063917,-0.8969023916975161,0,2,1
-0.787740007114023,1.6797200111528896,1,3,0
-0.35292783690352963,1.2965167652432523,1,3,0
2.916746140064107,0.07942127513634,2,1,1
0.445887063375638,1.1699217653140497,1,2,-1
1.2938063950884486,1.0727233569354895,2,1,1
-0.611573862151884,-1.6936196064565885,0,0,0
-0.741657729102259,0.5944444590673895,1,0,0
-2.433773388008888,1.1527309186673274,1,3,0
0.7102595799018816,0.3393420706087843,2,1,1
-1.1382666687316862,-0.9848800739540893,0,0,0
-2.4851392629524343,0.889559356154865,1,2,1
5.45591210240136,-0.8648019388659453,2,1,-1
0.5281086076911988,1.5028274369998755,1,2,1
1.59499187035088,0.14395434329068724,2,1,1
-1.361424487738978,2.188613517211438,1,2,1
-1.0691434505949862,-0.16920411569515398,1,0,0
3.271988939475142,1.3143584338812393,2,1,1
5.111325390595976,0.26302755442801706,2,1,-1
1.375559048822688,-1.2314912859066331,0,0,0
-0.9560815281253519,-0.36164473297886257,1,0,0
-0.8723885083194785,1.0424909299685872,1,2,1
4.139797972219972,0.9923171389462195,2,1,-1
3.5189011547607674,-0.5386726349243683,2,1,1
0.019402553454375908,-2.281057115851257,0,0,0
-1.1798514503054778,-1.2420609096881403,0,0,0
-1.239660199605923,1.434943808689633,1,3,0
-0.5918747421278339,-0.9166559467347316,0,0,0
